Host ID,Used By,Notes
1,Gateway,
2,T0 HA VIP,
3,T0 Edge01 Uplink,/29 Mask
4,T0 Edge02 Uplink,/29 Mask
5,RESERVED,Owned by Router
6,RESERVED,Owned by Router
7,RESERVED,Owned by Router
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,TKGS Ingress CIDR,
33,TKGS Ingress CIDR,
34,TKGS Ingress CIDR,
35,TKGS Ingress CIDR,
36,TKGS Ingress CIDR,
37,TKGS Ingress CIDR,
38,TKGS Ingress CIDR,
39,TKGS Ingress CIDR,
40,TKGS Ingress CIDR,
41,TKGS Ingress CIDR,
42,TKGS Ingress CIDR,
43,TKGS Ingress CIDR,
44,TKGS Ingress CIDR,
45,TKGS Ingress CIDR,
46,TKGS Ingress CIDR,
47,TKGS Ingress CIDR,
48,TKGS Ingress CIDR,
49,TKGS Ingress CIDR,
50,TKGS Ingress CIDR,
51,TKGS Ingress CIDR,
52,TKGS Ingress CIDR,
53,TKGS Ingress CIDR,
54,TKGS Ingress CIDR,
55,TKGS Ingress CIDR,
56,TKGS Ingress CIDR,
57,TKGS Ingress CIDR,
58,TKGS Ingress CIDR,
59,TKGS Ingress CIDR,
60,TKGS Ingress CIDR,
61,TKGS Ingress CIDR,
62,TKGS Ingress CIDR,
63,RESERVED,
64,TKGS Egress CIDR,
65,TKGS Egress CIDR,
66,TKGS Egress CIDR,
67,TKGS Egress CIDR,
68,TKGS Egress CIDR,
69,TKGS Egress CIDR,
70,TKGS Egress CIDR,
71,TKGS Egress CIDR,
72,TKGS Egress CIDR,
73,TKGS Egress CIDR,
74,TKGS Egress CIDR,
75,TKGS Egress CIDR,
76,TKGS Egress CIDR,
77,TKGS Egress CIDR,
78,TKGS Egress CIDR,
79,TKGS Egress CIDR,
80,TKGS Egress CIDR,
81,TKGS Egress CIDR,
82,TKGS Egress CIDR,
83,TKGS Egress CIDR,
84,TKGS Egress CIDR,
85,TKGS Egress CIDR,
86,TKGS Egress CIDR,
87,TKGS Egress CIDR,
88,TKGS Egress CIDR,
89,TKGS Egress CIDR,
90,TKGS Egress CIDR,
91,TKGS Egress CIDR,
92,TKGS Egress CIDR,
93,TKGS Egress CIDR,
94,TKGS Egress CIDR,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,Broadcast,
